,arm_name,testing,trial_index,depth,learning_rateG,learning_rateD,nchan,ndf,weight_decayD,weight_decayG,pixel_lambda,perc_lambda_1,perc_lambda_2,perc_lambda_3,perc_lambda_4,perc_lambda_5
13,21_0,0.371864939,21,4,0.008017827,0.000430933,37,123,0.172770592,0.099350411,24.21832561,0.234850726,0.00604657,0.024568799,0.096564431,0.022033319
12,20_0,0.374992958,20,4,0.009008648,0.000418301,37,115,0.181638158,0.085564146,45.91561786,0.563501972,0.007158618,0.036722481,0.266451858,0.008268815
22,29_0,0.383200841,29,4,0.009606869,0.000566475,35,117,0.200042402,0.065437119,41.57835796,0.521044106,0.004149924,0.014483671,0.116411291,0.015624533
29,35_0,0.383575259,35,4,0.009171634,0.000570065,40,120,0.14899388,0.09531997,67.69955098,0.652221156,0.002800319,0.022184668,0.457130004,0.038249978
38,44_0,0.390478104,44,4,0.0098428,0.000499056,33,117,0.15798821,0.092473756,64.91280802,0.440639704,0.003881411,0.019604504,0.167404929,0.01158321
14,22_0,0.390873629,22,4,0.007410779,0.000373177,37,120,0.230341259,0.062053082,52.55039378,0.893150492,0.004078624,0.015032346,0.079710295,0.018426835
2,11_0,0.397415258,11,4,0.006559213,0.000514724,36,117,0.116890841,0.130313759,133.8315892,1.663806563,0.011560342,0.018115499,0.110381499,0.01802842
28,34_0,0.398281105,34,4,0.009987947,0.000504972,38,122,0.144155345,0.091279484,58.87526854,0.251068061,0.004734903,0.012536858,0.108350472,0.012644563
37,43_0,0.399330752,43,4,0.009028738,0.000382879,36,118,0.178496947,0.085218949,60.45219308,0.22856953,0.003366924,0.02219703,0.181600348,0.009699568
5,13_0,0.400698917,13,4,0.006978119,0.000830188,36,113,0.150405488,0.120930577,45.17272282,0.678893318,0.009552819,0.011583633,0.05271886,0.005957126
26,33_0,0.402843089,33,4,0.007593969,0.000438674,36,118,0.173009585,0.0738775,29.18452588,0.491798326,0.005725447,0.023756001,0.132338882,0.009551066
44,49_0,0.406604107,49,4,0.01,0.000422913,36,117,0.212283052,0.077865597,78.43741425,0.497230928,0.00446335,0.025074899,0.108476806,0.010722356
31,37_0,0.406864995,37,4,0.01,0.000411948,34,120,0.198534315,0.08763255,49.400925,0.659692273,0.003692233,0.026393179,0.146413145,0.01001675
18,25_0,0.407143031,25,4,0.01,0.000384719,40,116,0.167170129,0.06177015,103.6245937,0.225167154,0.007531727,0.012790282,0.093261274,0.010667707
24,31_0,0.407474035,31,4,0.007723439,0.000360009,35,118,0.195995226,0.1071748,31.24487691,0.550957448,0.00408723,0.02883161,0.152454883,0.011545393
17,24_0,0.407536159,24,4,0.009523636,0.000366916,36,113,0.231972167,0.1349319,72.92765959,0.478731532,0.003447453,0.052717135,0.067632347,0.024387976
11,19_0,0.408179031,19,4,0.006395317,0.000343985,33,114,0.175113705,0.082205854,56.60147755,0.402783456,0.016437802,0.031530679,0.053482495,0.006474682
33,39_0,0.408404586,39,4,0.01,0.000456429,36,116,0.153499155,0.087787121,56.40652802,0.544553516,0.005916937,0.025724755,0.256715973,0.011835173
32,38_0,0.410695693,38,4,0.01,0.000469965,36,119,0.195057284,0.091962476,56.4414489,0.350983379,0.008513956,0.022522145,0.223542151,0.011940231
42,47_0,0.415094663,47,4,0.01,0.000376854,32,117,0.198046809,0.0874242,45.73447129,0.148271112,0.004412827,0.018447148,0.066094032,0.014671185
25,32_0,0.416671208,32,4,0.01,0.000434227,35,118,0.171175642,0.083451007,54.6071159,0.449785244,0.00885533,0.021518445,0.078387835,0.019521553
43,48_0,0.417380516,48,4,0.01,0.000439541,33,121,0.204719599,0.086367369,82.25044745,0.457025348,0.003545248,0.013596394,0.110635054,0.023179291
21,28_0,0.420316997,28,4,0.005276838,0.000357638,36,118,0.190508368,0.079985336,111.5734649,0.360992201,0.00166886,0.024687736,0.12062792,0.008068258
36,42_0,0.421892267,42,4,0.007427868,0.000339769,34,119,0.168272784,0.056556075,86.72847928,0.300038929,0.004913266,0.05394977,0.436763695,0.02079576
41,46_0,0.425181577,46,4,0.01,0.000395601,37,118,0.169026696,0.089436069,61.83448727,0.357078595,0.003132215,0.017676822,0.186704898,0.010744903
35,41_0,0.425238143,41,4,0.01,0.00047404,38,122,0.203974084,0.148618604,53.51203433,0.448491253,0.006664477,0.026997003,0.138904664,0.015672544
23,30_0,0.427684127,30,4,0.008616053,0.000545296,39,111,0.321394662,0.080964195,57.51628176,0.508573261,0.00402787,0.028017871,0.129208866,0.006271259
20,27_0,0.433396448,27,4,0.009836545,0.000217679,34,110,0.150484613,0.10877364,42.23278901,0.619875734,0.007378705,0.015393758,0.125340392,0.027451903
19,26_0,0.435696106,26,4,0.01,0.000524722,37,126,0.214113367,0.091330058,96.86267289,0.629605667,0.013558067,0.074694587,0.082101942,0.017940182
34,40_0,0.442552564,40,4,0.01,0.00039188,38,119,0.177667691,0.077095683,59.33693766,0.517179356,0.005821759,0.014974253,0.09376169,0.008030939
40,45_0,0.443794356,45,4,0.006596911,0.000487652,35,119,0.15382075,0.096260557,48.32722116,0.693385372,0.004059825,0.035876246,0.359384543,0.011997815
16,23_0,0.446373583,23,4,0.006244121,0.000454543,35,124,0.162513186,0.070487195,13.64682322,0.620862174,0.009098431,0.020651957,0.165208437,0.006585437
7,15_0,0.451818237,15,4,0.006338241,0.000585961,35,117,0.214123096,0.141059817,95.89400109,0.576773064,0.021651113,0.006466751,0.160193934,0.011561003
9,17_0,0.454032175,17,4,0.004311441,0.000614783,43,117,0.155710561,0.139275528,63.05138491,1.422877163,0.033630066,0.012178875,0.034932806,0.006999222
10,18_0,0.459894283,18,4,0.007263633,0.000703887,33,116,0.13731532,0.169813133,133.2109566,1.957228144,0.005710356,0.004093581,0.060262286,0.004434042
8,16_0,0.468318506,16,4,0.00412107,0.001221906,35,108,0.107192891,0.113758927,97.17706589,0.601957931,0.019413422,0.016460523,0.106141674,0.019557947
30,36_0,0.474602084,36,4,0.006447062,0.000524111,39,115,0.204086896,0.074869834,21.88524916,0.596144846,0.003163849,0.023302735,0.074842955,0.058171679
6,14_0,0.475803863,14,4,0.008077184,0.000673705,37,114,0.087735379,0.112852351,55.65141412,2.004293505,0.004410647,0.030115237,0.03302293,0.007536648
15,2_0,0.502531974,2,3,0.002424867,0.002542242,57,92,0.036974506,0.14666329,10.81701368,0.018878639,0.00141401,0.010505156,0.002186869,0.003519822
3,1_0,0.509186368,1,4,0.001018729,0.00822997,45,77,0.051446276,0.037878247,1.442133371,0.540781043,0.01429906,0.564210429,0.004421122,0.002252472
0,0_0,0.510707805,0,3,0.001663785,0.002921434,48,109,0.369891503,0.11072882,5.393847316,0.031566743,0.20227079,0.004722087,0.029162648,0.003180851
47,7_0,0.548527651,7,2,0.002091673,0.000181696,52,82,0.138877663,0.044126291,690.4965288,0.184611509,0.027733783,0.007133046,0.009108347,3.780253409
46,6_0,0.553525206,6,3,0.001151726,0.001467385,42,127,0.179187007,0.0296886,2.174481307,0.002374391,0.69397224,2.561488942,0.00980362,0.773791606
39,4_0,0.570808905,4,2,0.000534578,0.000903579,53,90,0.11031842,0.197798315,6.706034478,0.272260544,3.330759616,0.43706206,0.182975782,0.222893499
49,9_0,0.691293702,9,2,0.000313517,0.000384652,63,122,0.137689019,0.213062243,418.6214413,0.005904575,2.271583967,0.3060959,1.324569002,0.008798872
27,3_0,0.699222261,3,3,0.000560427,0.003004924,50,119,0.065913203,0.149473181,1291.491303,1.410736085,3.329794248,0.013338119,0.456063098,0.7345506
