,arm_name,testing,trial_index,depth,learning_rateG,learning_rateD,nchan,ndf,weight_decayD,weight_decayG,pixel_lambda,perc_lambda_1,perc_lambda_2,perc_lambda_3,perc_lambda_4,perc_lambda_5
42,47_0,0.355723039,47,3,0.007105769,0.006586546,55,86,0.093181123,0.045307002,1562.366512,0.001368283,0.148762791,0.185623507,0.001406883,0.078764838
19,26_0,0.366728398,26,3,0.007796467,0.003364178,61,92,0.064621289,0.021394442,177.9297908,0.001603813,3.329421347,1.877825965,0.078576671,0.977265205
34,40_0,0.374463032,40,4,0.005688705,0.001652284,57,119,0.018337534,0.033718958,595.4449848,0.002081571,1.013836755,4.263338002,1.102163352,0.660788623
8,16_0,0.377534346,16,3,0.007483861,0.002352877,54,125,0.0471773,0.015176942,345.728718,0.00217122,0.768553833,0.563021511,0.113512001,1.14866417
24,31_0,0.382556403,31,4,0.008208654,0.004288406,55,107,0.019462796,0.014642544,50.92338565,0.001649131,2.281006919,0.029656449,0.244012339,0.091176388
32,38_0,0.390971233,38,3,0.00948067,0.002615982,61,92,0.01428889,0.024509673,170.5437368,0.020078914,2.757735356,0.313732612,0.001153675,0.15023378
41,46_0,0.394360362,46,4,0.008346237,0.005546991,57,88,0.011780279,0.05947551,14.55293555,0.004314023,0.476867355,0.004619292,0.00103849,3.138839944
31,37_0,0.400314526,37,3,0.007405346,0.00498624,52,105,0.014279626,0.051964109,501.3827298,0.002854526,0.509841842,4.149294102,0.002905827,0.333690297
9,17_0,0.402180332,17,3,0.00528651,0.001048808,49,124,0.035546014,0.011520292,1026.172323,0.00221379,0.505760356,1.105301757,0.07855971,0.671979996
16,23_0,0.402312902,23,4,0.005837814,0.000733516,48,103,0.090858726,0.010430862,162.5779559,0.001257901,1.002074967,0.264699722,0.123788538,0.30125986
23,30_0,0.40726274,30,3,0.00678131,0.005405558,53,96,0.087885754,0.034556259,1286.211861,0.007445444,2.43719194,1.481930446,0.015607751,0.100904704
17,24_0,0.40913381,24,3,0.003440312,0.002577299,58,121,0.041032658,0.019083176,282.4048513,0.00166787,1.140035988,4.254593494,0.510710838,0.010987242
2,11_0,0.409465615,11,2,0.009849272,0.000905925,48,116,0.034457455,0.012770579,591.8240305,0.003465311,0.418125231,0.114063976,0.229705385,0.287296429
33,39_0,0.412051803,39,3,0.008170388,0.00225591,63,96,0.090834344,0.013499067,658.6978303,0.001527944,0.32272683,0.04451225,0.002146917,0.053683237
10,18_0,0.412127243,18,3,0.008578692,0.001094586,50,124,0.044611043,0.010179091,1628.81095,0.004288586,1.66351763,1.545504476,0.077011941,0.919786187
7,15_0,0.412826671,15,3,0.01,0.01,46,70,0.216114376,0.03150322,6.286550802,0.021285105,0.558721466,0.001719162,1.20125646,2.764487393
11,19_0,0.417553383,19,3,0.009764212,0.001306678,52,124,0.042563607,0.010445658,1774.830032,0.004807273,0.196823785,0.410288079,0.025580712,1.023950955
14,22_0,0.420909066,22,2,0.009440148,0.001905727,44,96,0.089717171,0.017433509,222.3163767,0.002248002,1.096684147,0.097437992,0.020293421,0.407123295
26,33_0,0.421205688,33,4,0.002992736,0.002303489,59,81,0.012481306,0.017306596,573.5409383,0.026522012,1.226415483,2.406740605,0.017516651,0.118272972
